ship_mode,segment,region,category,quantity,discount,shipping_cost,order_priority,return
Standard Class,Consumer,Oceania,Office Supplies,3,0.1,9.72,Medium,
Standard Class,Consumer,Oceania,Office Supplies,2,0.1,1.8,Medium,
Standard Class,Consumer,Oceania,Furniture,5,0.1,4.7,Medium,
Second Class,Consumer,EMEA,Office Supplies,4,0.0,8.17,High,
Standard Class,Consumer,Africa,Office Supplies,2,0.0,35.46,Medium,
Second Class,Home Office,North,Office Supplies,3,0.5,4.82,High,
Standard Class,Consumer,South,Office Supplies,3,0.0,6.03,Medium,
Second Class,Consumer,Central Asia,Office Supplies,3,0.0,11.13,Critical,
Standard Class,Corporate,Central,Technology,2,0.4,6.21,Medium,
Standard Class,Consumer,Central,Office Supplies,2,0.0,0.93,Medium,
Standard Class,Consumer,EMEA,Furniture,6,0.0,19.65,High,
Second Class,Consumer,Central Asia,Office Supplies,5,0.0,5.29,Critical,
Second Class,Corporate,Central,Office Supplies,1,0.0,3.34,High,
Second Class,Corporate,Africa,Office Supplies,1,0.0,53.08,Critical,
Standard Class,Corporate,Central,Office Supplies,6,0.4,0.81,Medium,
Second Class,Corporate,Central,Office Supplies,5,0.0,19.23,High,
Second Class,Corporate,North Asia,Office Supplies,3,0.0,44.36,Critical,
First Class,Consumer,West,Furniture,2,0.15,54.64,High,
Second Class,Consumer,Central Asia,Technology,2,0.0,57.3,Critical,
Second Class,Consumer,Central Asia,Office Supplies,3,0.0,3.78,Critical,
Standard Class,Corporate,Central,Office Supplies,2,0.4,21.38,Medium,
Standard Class,Consumer,Central,Office Supplies,3,0.0,1.86,Medium,
Second Class,Corporate,North Asia,Office Supplies,5,0.0,33.15,Medium,Yes
Standard Class,Corporate,North,Office Supplies,3,0.0,3.55,High,
Standard Class,Corporate,North,Furniture,3,0.0,150.4,High,
Standard Class,Consumer,Central,Office Supplies,8,0.2,80.67,High,
Standard Class,Consumer,EMEA,Furniture,1,0.0,2.21,Medium,
Standard Class,Home Office,East,Technology,3,0.0,0.42,Medium,
Standard Class,Corporate,North Asia,Furniture,7,0.0,15.91,Medium,Yes
Same Day,Home Office,EMEA,Office Supplies,2,0.0,1.94,Medium,
