,order_date
0,7
1,5
2,10
3,1
4,5
5,6
6,7
7,4
8,10
9,1
10,5
11,4
12,12
13,11
14,6
15,7
16,3
17,8
18,1
19,5
20,8
21,10
22,2
23,2
24,7
25,5
26,12
27,8
28,3
29,11
30,2
31,12
32,7
33,10
34,3
35,12
36,9
37,9
38,5
39,1
40,10
41,8
42,11
43,9
44,12
45,9
46,9
47,8
48,8
49,1
50,12
51,6
52,9
53,7
54,12
55,12
56,5
57,3
58,5
59,5
60,8
61,11
62,8
63,11
64,8
65,1
66,2
67,7
68,12
69,11
70,9
71,7
72,11
73,3
74,8
75,9
76,5
77,3
78,11
79,9
80,10
81,11
82,10
83,1
84,8
85,1
86,9
87,11
88,6
89,10
90,12
91,5
92,6
93,2
94,12
95,1
96,7
97,11
98,11
99,9
100,3
101,7
102,11
103,6
104,11
105,9
106,5
107,7
108,4
109,12
110,3
111,4
112,5
113,12
114,4
115,5
116,5
117,5
118,6
119,2
120,5
121,1
122,12
123,12
124,11
125,3
126,12
127,12
128,5
129,10
130,9
131,11
132,7
133,7
134,8
135,8
136,11
137,1
138,6
139,1
140,6
141,6
142,5
143,9
144,12
145,3
146,9
147,10
148,7
149,8
150,5
151,3
152,2
153,9
154,8
155,11
156,2
157,9
158,9
159,2
160,3
161,2
162,12
163,8
164,12
165,3
166,3
167,9
168,11
169,10
170,3
171,2
172,11
173,10
174,10
175,6
176,3
177,5
178,11
179,12
180,9
181,7
182,11
183,5
184,1
185,7
186,8
187,12
188,11
189,1
190,8
191,3
192,6
193,1
194,10
195,12
196,12
197,1
198,11
199,7
200,10
201,10
202,12
203,10
204,10
205,2
206,11
207,6
208,9
209,9
210,6
211,2
212,6
213,7
214,2
215,5
216,10
217,9
218,2
219,9
220,7
221,8
222,7
223,10
224,7
225,7
226,10
227,3
228,8
229,10
230,9
231,6
232,9
233,9
234,11
235,3
236,10
237,8
238,1
239,12
240,4
241,11
242,1
243,5
244,9
245,6
246,1
247,9
248,1
249,12
250,5
251,12
252,5
253,4
254,6
255,8
256,9
257,12
258,9
259,4
260,5
261,3
262,12
263,4
264,11
265,6
266,7
267,7
268,11
269,11
270,9
271,11
272,10
273,3
274,12
275,4
276,6
277,2
278,3
279,11
280,11
281,3
282,11
283,6
284,3
285,12
286,9
287,4
288,11
289,8
290,5
291,11
292,4
293,8
294,5
295,12
296,3
297,4
298,5
299,8
300,6
301,8
302,10
303,3
304,11
305,8
306,8
307,1
308,10
309,12
310,12
311,2
312,11
313,4
314,12
315,9
316,9
317,11
318,1
319,6
320,10
321,8
322,12
323,8
324,1
325,11
326,6
327,12
328,9
329,8
330,3
331,7
332,7
333,4
334,9
335,6
336,6
337,7
338,11
339,2
340,11
341,8
342,8
343,7
344,1
345,8
346,9
347,2
348,7
349,11
350,9
351,6
352,12
353,6
354,1
355,12
356,3
357,11
358,11
359,6
360,5
361,12
362,12
363,9
364,7
365,6
366,7
367,11
368,5
369,4
370,11
371,9
372,9
373,2
374,3
375,12
376,6
377,3
378,12
379,9
380,10
381,6
382,7
383,12
384,5
385,6
386,3
387,5
388,8
389,3
390,7
391,9
392,10
393,11
394,7
395,3
396,12
397,6
398,12
399,6
400,1
401,3
402,10
403,2
404,11
405,2
406,9
407,7
408,3
409,10
410,6
411,10
412,12
413,4
414,8
415,8
416,4
417,10
418,4
419,12
420,5
421,10
422,12
423,11
424,10
425,10
426,1
427,12
428,6
429,3
430,9
431,12
432,12
433,11
434,12
435,5
436,8
437,6
438,8
439,9
440,11
441,10
442,8
443,5
444,4
445,3
446,5
447,4
448,10
449,8
450,6
451,8
452,5
453,5
454,4
455,12
456,12
457,4
458,11
459,11
460,6
461,4
462,11
463,12
464,5
465,9
466,7
467,10
468,3
469,2
470,10
471,11
472,8
473,8
474,2
475,2
476,10
477,12
478,9
479,4
480,5
481,3
482,7
483,2
484,5
485,4
486,11
487,12
488,11
489,3
490,8
491,2
492,8
493,5
494,8
495,5
496,3
497,2
498,9
499,7
500,9
501,8
502,10
503,10
504,2
505,2
506,3
507,12
508,6
509,12
510,5
511,12
512,7
513,10
514,10
515,9
516,7
517,11
518,11
519,8
520,10
521,8
522,10
523,2
524,1
525,11
526,3
527,12
528,3
529,6
530,8
531,9
532,6
533,12
534,11
535,8
536,7
537,6
538,4
539,11
540,2
541,1
542,12
543,6
544,11
545,4
546,8
547,12
548,1
549,5
550,12
551,11
552,5
553,10
554,6
555,4
556,7
557,8
558,10
559,2
560,12
561,12
562,7
563,8
564,10
565,7
566,6
567,10
568,11
569,8
570,12
571,3
572,12
573,12
574,1
575,4
576,7
577,6
578,11
579,4
580,4
581,6
582,12
583,12
584,11
585,5
586,9
587,8
588,10
589,6
590,1
591,8
592,8
593,4
594,10
595,12
596,6
597,8
598,6
599,5
600,4
601,6
602,12
603,11
604,7
605,8
606,10
607,1
608,2
609,11
610,8
611,5
612,4
613,9
614,10
615,9
616,5
617,5
618,9
619,1
620,10
621,11
622,4
623,7
624,7
625,2
626,8
627,1
628,6
629,12
630,1
631,11
632,8
633,12
634,6
635,11
636,5
637,5
638,12
639,12
640,5
641,12
642,2
643,12
644,4
645,8
646,1
647,3
648,11
649,8
650,9
651,5
652,11
653,1
654,4
655,5
656,11
657,12
658,4
659,2
660,3
661,3
662,5
663,6
664,10
665,2
666,6
667,9
668,9
669,10
670,12
671,4
672,9
673,12
674,10
675,2
676,10
677,1
678,6
679,12
680,8
681,4
682,1
683,4
684,2
685,6
686,9
687,8
688,6
689,7
690,12
691,9
692,3
693,9
694,3
695,5
696,6
697,12
698,5
699,2
700,8
701,6
702,2
703,6
704,6
705,12
706,9
707,2
708,4
709,9
710,11
711,9
712,4
713,1
714,10
715,9
716,4
717,8
718,2
719,3
720,9
721,8
722,5
723,12
724,3
725,1
726,8
727,2
728,5
729,2
730,11
731,11
732,3
733,11
734,12
735,6
736,3
737,5
738,3
739,12
740,9
741,8
742,8
743,11
744,1
745,6
746,9
747,10
748,9
749,12
750,1
751,7
752,2
753,3
754,3
755,5
756,11
757,10
758,5
759,1
760,8
761,6
762,8
763,8
764,6
765,12
766,1
767,4
768,6
769,5
770,8
771,11
772,5
773,2
774,6
775,9
776,5
777,10
778,12
779,10
780,11
781,10
782,8
783,7
784,10
785,4
786,8
787,4
788,12
789,4
790,6
791,8
792,8
793,9
794,3
795,5
796,6
797,6
798,8
799,12
800,2
801,11
802,8
803,2
804,11
805,8
806,3
807,4
808,5
809,5
810,4
811,3
812,9
813,9
814,5
815,10
816,11
817,10
818,9
819,12
820,12
821,4
822,12
823,9
824,12
825,10
826,12
827,11
828,4
829,6
830,11
831,6
832,6
833,9
834,11
835,9
836,7
837,4
838,6
839,12
840,1
841,10
842,6
843,1
844,7
845,11
846,11
847,7
848,3
849,12
850,11
851,2
852,5
853,5
854,7
855,9
856,12
857,10
858,5
859,1
860,12
861,6
862,5
863,9
864,12
865,12
866,2
867,4
868,6
869,6
870,9
871,3
872,10
873,4
874,8
875,1
876,12
877,3
878,4
879,12
880,11
881,10
882,9
883,3
884,4
885,12
886,1
887,11
888,9
889,4
890,10
891,10
892,4
893,10
894,9
895,11
896,4
897,3
898,7
899,12
900,10
901,1
902,11
903,3
904,8
905,7
906,1
907,4
908,7
909,10
910,8
911,12
912,12
913,11
914,5
915,7
916,6
917,9
918,8
919,8
920,9
921,6
922,5
923,3
924,2
925,12
926,10
927,2
928,11
929,10
930,3
931,10
932,11
933,9
934,4
935,9
936,9
937,3
938,6
939,8
940,5
941,6
942,12
943,9
944,12
945,10
946,11
947,10
948,11
949,9
950,5
951,9
952,10
953,10
954,11
955,12
956,6
957,7
958,8
959,9
960,3
961,12
962,10
963,12
964,6
965,1
966,5
967,10
968,1
969,5
970,12
971,3
972,8
973,1
974,6
975,4
976,4
977,5
978,3
979,8
980,11
981,10
982,4
983,7
984,6
985,7
986,5
987,6
988,3
989,9
990,9
991,8
992,12
993,8
994,8
995,9
996,1
997,10
998,10
999,1
1000,10
1001,1
1002,11
1003,3
1004,9
1005,10
1006,8
1007,1
1008,11
1009,10
1010,3
1011,1
1012,10
1013,10
1014,10
1015,12
1016,8
1017,2
1018,6
1019,5
1020,8
1021,10
1022,11
1023,7
1024,10
1025,3
1026,5
1027,11
1028,3
1029,9
1030,8
1031,5
1032,9
1033,4
1034,7
1035,10
1036,11
1037,11
1038,1
1039,3
1040,5
1041,8
1042,10
1043,9
1044,6
1045,11
1046,4
1047,11
1048,9
1049,9
1050,5
1051,1
1052,1
1053,2
1054,10
1055,6
1056,9
1057,1
1058,10
1059,11
1060,7
1061,4
1062,10
1063,9
1064,6
1065,12
1066,3
1067,7
1068,10
1069,12
1070,4
1071,8
1072,5
1073,9
1074,4
1075,5
1076,7
1077,6
1078,12
1079,7
1080,6
1081,1
1082,4
1083,12
1084,1
1085,11
1086,9
1087,10
1088,12
1089,12
1090,3
1091,11
1092,8
1093,7
1094,6
1095,6
1096,7
1097,6
1098,1
1099,12
1100,12
1101,5
1102,1
1103,2
1104,2
1105,2
1106,5
1107,3
1108,10
1109,12
1110,11
1111,5
1112,4
1113,4
1114,10
